record_id,record_type,title,record_key,source_name,headline,publisher,canonical_url,evidence_url,source_domain,reference_category,project_area,source_context,source_label,date_published,about_names,description,metadata,jsonld_type,source_page_url,original_block_hash_sha256,verification_status,interpretation_note,license
reference-cockroach,citation_or_reference_record,Cockroach Portfolio: A Protection Against Economic Crisis,cockroach,IJMCER: Academic Journal,Cockroach Portfolio: A Protection Against Economic Crisis,International Journal of Multidisciplinary Combined Research & Engineering,https://www.ijmcer.com/wp-content/uploads/2023/07/IJMCER_A05301014.pdf,https://www.ijmcer.com/wp-content/uploads/2023/07/IJMCER_A05301014.pdf,ijmcer.com,academic_or_research_reference,"[""finance""]",Economic Crisis Protection • Structural Alpha,Expanded Canvas Framework,,"[""Picture Perfect Portfolios""]",IJMCER: Academic Journal: Cockroach Portfolio: A Protection Against Economic Crisis. Context label: Economic Crisis Protection • Structural Alpha. This record is included as a academic or research reference connected to the Samuel & Audrey Media Network archive.,"{""Journal"": ""IJMCER (ISSN: 2582-7421)"", ""Subject Matter"": ""Cockroach Portfolio (Mutiny Fund)"", ""Primary Source"": ""Picture Perfect Portfolios"", ""Key Framework"": ""Expanded Canvas (Offense vs. Defense)""}",ScholarlyArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,3375ff0557394cc2e8d266a41d0108e0632b181249d25c9a1680d180340853d1,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-jr,citation_or_reference_record,Japan Travel YouTube Channels to Follow to Plan Your Trip,jr,JRPass.com,Japan Travel YouTube Channels to Follow to Plan Your Trip,JRPass.com,https://www.jrpass.com/blog/japan-travel-youtube-channels-to-follow-to-plan-your-trip,https://www.jrpass.com/blog/japan-travel-youtube-channels-to-follow-to-plan-your-trip,jrpass.com,tourism_campaign_or_industry_reference,"[""travel_media""]",Official Logistics Portal • Japan Rail Pass,Recommended Planning Resource,,"[""Samuel & Audrey Media Network""]",JRPass.com: Japan Travel YouTube Channels to Follow to Plan Your Trip. Context label: Official Logistics Portal • Japan Rail Pass. This record is included as a tourism campaign or industry reference connected to the Samuel & Audrey Media Network archive.,"{""Entity"": ""JRPass.com (Rail Logistics)"", ""Category"": ""Travel Vloggers Featuring Japan"", ""Function"": ""Visual Trip Planning Resource"", ""Status"": ""Trusted Logistical Guide""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,9d58aa1cd6d97cec24e93745ef490e491abda77c6c18dca1eaa736a4c4218269,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-blogville,citation_or_reference_record,BlogVille Case Study,blogville,iambassador & Italian Tourism Boards,BlogVille Case Study,Lombardia Tourism Board,https://www.iambassador.net/case-studies/blogville/,https://www.iambassador.net/case-studies/blogville/,iambassador.net,tourism_campaign_or_industry_reference,"[""travel_media""]",BlogVille Lombardia • Case Study: Global Strategy,Travel 2.0 Innovation Standard,,"[""Samuel Jeffery"", ""Audrey Bergner""]",iambassador & Italian Tourism Boards: BlogVille Case Study. Context label: BlogVille Lombardia • Case Study: Global Strategy. This record is included as a tourism campaign or industry reference connected to the Samuel & Audrey Media Network archive.,"{""Organizations"": ""iambassador / Italy Tourism"", ""Status"": ""Primary Industry Case Study"", ""WTM London Award"": ""Best Travel 2.0 Innovation"", ""Project Scope"": ""1,200 Articles / 18 Million Reach""}",CreativeWork,https://nomadicsamuel.com/media-citations-and-third-party-references,71c64173ada737825a566737c338f7f56f85183bca35422acc837e57f65be646,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-luxalgo-v2,citation_or_reference_record,How to Maximize Sharpe Ratio in Trading Strategies,luxalgo-v2,LuxAlgo,How to Maximize Sharpe Ratio in Trading Strategies,LuxAlgo,https://www.luxalgo.com/blog/how-to-maximize-sharpe-ratio-in-trading-strategies/,https://www.luxalgo.com/blog/how-to-maximize-sharpe-ratio-in-trading-strategies/,luxalgo.com,finance_media_or_research_reference,"[""finance""]",Quant Tech • technical Strategy,Maximum Sharpe Reference,2025-02-21,"[""Picture Perfect Portfolios""]",LuxAlgo: How to Maximize Sharpe Ratio in Trading Strategies. Context label: Quant Tech • technical Strategy. This record is included as a finance media or research reference connected to the Samuel & Audrey Media Network archive.,"{""Publication Date"": ""Feb 21, 2025"", ""Core Metric"": ""Sharpe Ratio Optimization (S > 1.0)"", ""Cited Authority"": ""Picture Perfect Portfolios"", ""Key Concept"": ""Alternative Assets & Risk Parity""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,fe4592886f9771e4ebafa72bf0226698c3d597b41dd59be19294b6fd9a5bcfdd,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-mp,citation_or_reference_record,Best Machu Picchu Local Artisan Markets Guide 2025,mp,Machupicchu.org,Best Machu Picchu Local Artisan Markets Guide 2025,Machupicchu.org,https://www.machupicchu.org/best-machu-picchu-local-artisan-markets-guide-2025.htm,https://www.machupicchu.org/best-machu-picchu-local-artisan-markets-guide-2025.htm,machupicchu.org,tourism_campaign_or_industry_reference,"[""travel_media""]",Official Travel Resource • Cusco Guide,Heritage Education Standard,,"[""Samuel & Audrey Media Network""]",Machupicchu.org: Best Machu Picchu Local Artisan Markets Guide 2025. Context label: Official Travel Resource • Cusco Guide. This record is included as a tourism campaign or industry reference connected to the Samuel & Audrey Media Network archive.,"{""Organization"": ""Machupicchu.org (Heritage Expert)"", ""Focus"": ""Indigenous Economic Support"", ""Integration"": ""Embedded Visual Guide (Cusco)"", ""Status"": ""Trusted Destination Resource""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,4d15cece679db4ea1b7c8e3ecb8b9092b94d6176bc52469df5b99a2c0825b4a3,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-moontower,citation_or_reference_record,Investment Blogs I Read: Picture Perfect Portfolios,moontower,Moontower Meta,Investment Blogs I Read: Picture Perfect Portfolios,Moontower Meta,https://notion.moontowermeta.com/investment-blogs-i-read,https://notion.moontowermeta.com/investment-blogs-i-read,notion.moontowermeta.com,finance_media_or_research_reference,"[""finance"", ""travel_media""]",Kris Abdelmessih • Institutional Practitioner reference,recognized Reading List Placement,,"[""Nomadic Samuel""]",Moontower Meta: Investment Blogs I Read: Picture Perfect Portfolios. Context label: Kris Abdelmessih • Institutional Practitioner reference. This record is included as a finance media or research reference connected to the Samuel & Audrey Media Network archive.,"{""Source"": ""Moontower Meta (Kris Abdelmessih)"", ""Technical Specialty"": ""Derivatives, Box Spreads, Return Stacking"", ""Placement Tier"": ""\""Virtuoso\"" / Practical Portfolio Topics"", ""Status"": ""Institutional-Grade Research Provider""}",CreativeWork,https://nomadicsamuel.com/media-citations-and-third-party-references,af98d2a02af9515602a2a299972bdc8a73a2cc5aedad2a448d4f9f3c59a89d43,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-mtlucas-complete,citation_or_reference_record,10 Things Investors Need to Know About Managed Futures Strategies,mtlucas-complete,Mt. Lucas Investment Management,10 Things Investors Need to Know About Managed Futures Strategies,Mt. Lucas Investment Management,https://www.mtlucas.com/post/picture-perfect-portfolios-10-things-investors-need-to-know-about-managed-futures-strategies,https://kraneshares.com/kmlm-etf-review-of-the-strategy-behind-kfa-mount-lucas-managed-futures-index-strategy/,mtlucas.com,finance_media_or_research_reference,"[""finance""]",Institutional Asset Manager • Founded 1986,Strategic Educational Partner,,"[""KFA Mount Lucas Managed Futures Index Strategy ETF""]",Mt. Lucas Investment Management: 10 Things Investors Need to Know About Managed Futures Strategies. Context label: Institutional Asset Manager • Founded 1986. This record is included as a finance media or research reference connected to the Samuel & Audrey Media Network archive.,"{""Primary Institution"": ""Mt. Lucas Investment Management"", ""Strategy Focus"": ""KFA Mount Lucas Managed Futures Index"", ""Issuer Partner"": ""KraneShares / KFA Funds"", ""reference Level"": ""Direct Institutional Hosting""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,a1cc9ea0158109be67e270aea065f2ad6222d6c51aaeabf568fb1d0b84b74236,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-nasdaq,citation_or_reference_record,Should You Invest Like Warren Buffett or Elon Musk?,nasdaq,NASDAQ,Should You Invest Like Warren Buffett or Elon Musk?,NASDAQ,https://www.nasdaq.com/articles/should-you-invest-warren-buffet-or-elon-musk-3-differences-their-strategies,https://www.nasdaq.com/articles/should-you-invest-warren-buffet-or-elon-musk-3-differences-their-strategies,nasdaq.com,finance_media_or_research_reference,"[""finance""]",Global Stock Exchange • Financial Authority,Keystone reference,,[],NASDAQ: Should You Invest Like Warren Buffett or Elon Musk?. Context label: Global Stock Exchange • Financial Authority. This record is included as a finance media or research reference connected to the Samuel & Audrey Media Network archive.,"{""Institution"": ""NASDAQ (Global Exchange)"", ""Subject Matter"": ""Buffett vs. Musk Strategies"", ""Features"": ""Dual Syndication"", ""Status"": ""Systemic Financial Authority""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,f2c41b3f1444a28ec57c5206717bb244857f9663851b9c804007318a869250c4,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-natgeo,citation_or_reference_record,I Heart My City: Audrey’s Seoul,natgeo,National Geographic,I Heart My City: Audrey’s Seoul,National Geographic,https://www.nationalgeographic.com/travel/article/i-heart-my-city-audreys-seoul,https://www.nationalgeographic.com/travel/article/i-heart-my-city-audreys-seoul,nationalgeographic.com,media_reference,"[""travel_media""]",Traveler Series • Global Editorial Standard,Certified Cultural Insider,,"[""Seoul""]",National Geographic: I Heart My City: Audrey’s Seoul. Context label: Traveler Series • Global Editorial Standard. This record is included as a media reference connected to the Samuel & Audrey Media Network archive.,"{""Institution"": ""National Geographic (136-Year Legacy)"", ""Series"": ""\""Where the Locals Go\"" / \""I Heart My City\"""", ""Role"": ""Resident Cultural Expert"", ""Vetting Level"": ""Global Gold Standard""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,2f5561f0e175bde2fdc522accebaa817b20be644b9aa33eea6d5deafc654cbba,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-springer,citation_or_reference_record,From Lehman Brothers to Evergrande: Is Another Housing Crisis on its Way?,springer,Palgrave Macmillan,From Lehman Brothers to Evergrande: Is Another Housing Crisis on its Way?,Palgrave Macmillan (Springer Nature),https://link.springer.com/chapter/10.1007/978-3-031-72604-0_1,https://link.springer.com/chapter/10.1007/978-3-031-72604-0_1,link.springer.com,academic_or_research_reference,"[""finance""]",Springer Nature • Economic History,Crisis Analysis Reference,2024-11-13,"[""Picture Perfect Portfolios""]",Palgrave Macmillan: From Lehman Brothers to Evergrande: Is Another Housing Crisis on its Way?. Context label: Springer Nature • Economic History. This record is included as a academic or research reference connected to the Samuel & Audrey Media Network archive.,"{""Publisher"": ""Palgrave Macmillan (Springer Nature)"", ""Book Title"": ""The Global Housing Crisis (2024)"", ""Key Citation"": ""\""The Complete History of Housing Bubbles\"""", ""Context"": ""Lehman Brothers vs. Evergrande""}",Chapter,https://nomadicsamuel.com/media-citations-and-third-party-references,5c0a32d51b2d63ce48234349890776c3378f78ecd3586310495422587fe43d1f,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-springer-v2,citation_or_reference_record,Lessons (Not) Learned from Past Housing Bubbles and Crises,springer-v2,Palgrave Macmillan,Lessons (Not) Learned from Past Housing Bubbles and Crises,Palgrave Macmillan (Springer Nature),https://link.springer.com/chapter/10.1007/978-3-031-72604-0_4,https://link.springer.com/chapter/10.1007/978-3-031-72604-0_4,link.springer.com,academic_or_research_reference,"[""finance""]",Springer Nature • Comparative Economics,Core Syllabus Reference,2024-11-13,"[""Picture Perfect Portfolios""]",Palgrave Macmillan: Lessons (Not) Learned from Past Housing Bubbles and Crises. Context label: Springer Nature • Comparative Economics. This record is included as a academic or research reference connected to the Samuel & Audrey Media Network archive.,"{""Publisher"": ""Palgrave Macmillan (Springer Nature)"", ""Chapter 4"": ""\""Lessons (Not) Learned from Past Housing Bubbles\"""", ""Historical Scope"": ""Panic of 1837 – Present Day"", ""Key Concept"": ""The Cyclical Nature of Human Emotion""}",Chapter,https://nomadicsamuel.com/media-citations-and-third-party-references,271b593367a963d1c416468f5adae06053228726f2991b578681a58553cfff14,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-perucom,citation_or_reference_record,Samuel & Audrey: Gastronomic Chronicles in Peru,perucom,Peru.com,Samuel & Audrey: Gastronomic Chronicles in Peru,Peru.com,https://peru.com/actualidad/otras-noticias/youtube-esto-piensan-dos-turistas-canadienses-nuestra-causa-noticia-482471/,https://peru.com/actualidad/otras-noticias/youtube-esto-piensan-dos-turistas-canadienses-nuestra-causa-noticia-482471/,peru.com,media_reference,"[""travel_media""]",National News Portal • Cultural Impact Archive,Public Opinion Standard,,"[""Samuel & Audrey Media Network""]",Peru.com: Samuel & Audrey: Gastronomic Chronicles in Peru. Context label: National News Portal • Cultural Impact Archive. This record is included as a media reference connected to the Samuel & Audrey Media Network archive.,"{""Institution"": ""Peru.com (Digital News Leader)"", ""Reach"": ""Millions of Unique Users / LatAm Region"", ""Category"": ""Gastronomic Diplomacy Chronicle"", ""reference"": ""Triple National Interest Feature""}",NewsArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,77c02ccf817e87d18b407bf76c747679598b82b2b81fdf9e85aa8deb07590616,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-redalyc-v2,citation_or_reference_record,Features of ELF interactions in travel blogs,redalyc-v2,Redalyc / Ibérica,Features of ELF interactions in travel blogs,Redalyc Scientific Network / Ibérica Journal,https://www.redalyc.org/pdf/2870/287045359007.pdf,https://www.redalyc.org/pdf/2870/287045359007.pdf,redalyc.org,academic_or_research_reference,"[""travel_media""]",Scientific Index • Linguistics & Pragmatics,English as a Lingua Franca (ELF),,"[""Nomadic Samuel (Samuel & Audrey Media Network)""]",Redalyc / Ibérica: Features of ELF interactions in travel blogs. Context label: Scientific Index • Linguistics & Pragmatics. This record is included as a academic or research reference connected to the Samuel & Audrey Media Network archive.,"{""Journal"": ""Ibérica (AELFE)"", ""Key Concepts"": ""Code-Switching & Backchanneling"", ""Specific Case Studies"": ""Finnish Salmiakki & Middle East Interactions"", ""Methodology Source"": ""\""Top 100 Travel Blogs\"" Ranking System""}",ScholarlyArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,4a140d1f23132c9aa79ea385c921ccd02d0b85005c7be7aa75bce9e73789a70e,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-rode,citation_or_reference_record,YouTube Travellers' Microphone Choice For Perfect-Sounding Vacays,rode,RØDE Microphones,YouTube Travellers' Microphone Choice For Perfect-Sounding Vacays,RØDE Microphones,https://rode.com/en-int/about/news-info/youtube-travellers-microphone-choice-for-perfect-sounding-vacays,https://rode.com/en-int/about/news-info/youtube-travellers-microphone-choice-for-perfect-sounding-vacays,rode.com,public_reference,"[""travel_media""]",Industry Leader • Technical Production Case Study,Audio Fidelity Standard,,"[""Samuel & Audrey Media Network""]",RØDE Microphones: YouTube Travellers' Microphone Choice For Perfect-Sounding Vacays. Context label: Industry Leader • Technical Production Case Study. This record is included as a public reference connected to the Samuel & Audrey Media Network archive.,"{""Entity"": ""RØDE Microphones (Global)"", ""Software Stack"": ""Final Cut Pro X (FCPX)"", ""Historical Metric"": ""35 Million Views / 130k+ Fanbase"", ""Vetting Level"": ""Professional Tech Endorsement""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,ee5a6b8b6203c2d2083c35e15863d207137f5a2503ed16abe81e143c8f9a7ce4,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-sage,citation_or_reference_record,"Follow me, I’m famous: travel bloggers’ self-mediated performances of everyday exoticism",sage,SAGE Journals,"Follow me, I’m famous: travel bloggers’ self-mediated performances of everyday exoticism",SAGE Journals,https://journals.sagepub.com/doi/full/10.1177/0163443719853503,https://journals.sagepub.com/doi/full/10.1177/0163443719853503,journals.sagepub.com,academic_or_research_reference,"[""travel_media""]","Media, Culture & Society • Academic Research","The ""Most Objective"" Index",,"[""Nomadic Samuel (Top 100 List)""]","SAGE Journals: Follow me, I’m famous: travel bloggers’ self-mediated performances of everyday exoticism. Context label: Media, Culture & Society • Academic Research. This record is included as a academic or research reference connected to the Samuel & Audrey Media Network archive.","{""Journal"": ""SAGE Media, Culture & Society"", ""Methodology"": ""Quant-Driven Ranking (Alexa/DA)"", ""Academic Status"": ""\""Most Objective List\"" (source reference)"", ""Subject"": ""Microcelebrity & Everyday Exoticism""}",ScholarlyArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,c7c5185d0e33c9cf6c84b9a8b2bbc8d7972a3843857c3c3376fe4b3a7663665a,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-alpha-dual,citation_or_reference_record,Seeking Alpha Technical references: TUA & KMLM,alpha-dual,Seeking Alpha,Seeking Alpha Technical references: TUA & KMLM,Seeking Alpha,https://seekingalpha.com/article/4636221-tua-hidden-bet-on-the-yield-curve,https://seekingalpha.com/article/4636221-tua-hidden-bet-on-the-yield-curve,seekingalpha.com,academic_or_research_reference,"[""finance""]",Market Research Platform • Corrective Citation Hub,referenced Technical Reference,,"[""TUA ETF"", ""KMLM ETF""]",Seeking Alpha: Seeking Alpha Technical references: TUA & KMLM. Context label: Market Research Platform • Corrective Citation Hub. This record is included as a academic or research reference connected to the Samuel & Audrey Media Network archive.,"{""Platform"": ""Seeking Alpha (Global Investing Authority)"", ""Specialties"": ""TUA (Yield Curve), KMLM (Managed Futures)"", ""Role"": ""Corrective source reference"", ""Status"": ""Analyst-Verified Technical Reference""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,220238e2aa3f8eec8b1332bc6406e28be2aef22dbd3016166ff3228f33e731f1,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-standpoint,citation_or_reference_record,Picture Perfect Portfolios Interview,standpoint,Standpoint Asset Management,Picture Perfect Portfolios Interview,Standpoint Asset Management,https://www.standpointfunds.com/content/picture-perfect-portfolios-interview,https://www.standpointfunds.com/content/picture-perfect-portfolios-interview,standpointfunds.com,finance_media_or_research_reference,"[""finance""]",SEC-Registered RIA • Multi-Asset Institutional Fund,Professional Peer Recognition,,"[""Picture Perfect Portfolios""]",Standpoint Asset Management: Picture Perfect Portfolios Interview. Context label: SEC-Registered RIA • Multi-Asset Institutional Fund. This record is included as a finance media or research reference connected to the Samuel & Audrey Media Network archive.,"{""Entity"": ""Standpoint Asset Management, LLC"", ""Credential"": ""SEC-Registered Investment Advisor"", ""reference Type"": ""Methodological (The Blind Taste Test)"", ""Status"": ""Professional Content Partnership""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,973fc8a91ffee53d49f25c9ee6ed3c97ccfeacdbfdbcd4b68d63a907b6c22b2b,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-tw2,citation_or_reference_record,An Interview with Audrey Bergner,tw2,Travel Writing 2.0,An Interview with Audrey Bergner,Travel Writing 2.0,https://travelwriting2.com/an-interview-with-audrey-bergner/,https://travelwriting2.com/an-interview-with-audrey-bergner/,travelwriting2.com,profile_or_interview_reference,"[""travel_media""]",Industry Education • Professional Mentorship,Thought Leader Interview,,"[""Audrey Bergner""]",Travel Writing 2.0: An Interview with Audrey Bergner. Context label: Industry Education • Professional Mentorship. This record is included as a profile or interview reference connected to the Samuel & Audrey Media Network archive.,"{""Publication"": ""Travel Writing 2.0 (Industry Resource)"", ""Subject"": ""Audience Growth & Business Strategy"", ""Credential"": ""Subject Matter Expert (SME)"", ""Status"": ""Professional Mentor""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,bd3c9de1e596f96d019db64b4ef16e8b50e5f8fcb05f4ee22120fa1e42c7efe8,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-usatoday,citation_or_reference_record,Travel bloggers share their scariest moments from the road,usatoday,USA TODAY,Travel bloggers share their scariest moments from the road,USA TODAY,https://www.usatoday.com/story/travel/roadwarriorvoices/2016/02/16/travel-bloggers-scariest-moments/80467950/,https://www.usatoday.com/story/travel/roadwarriorvoices/2016/02/16/travel-bloggers-scariest-moments/80467950/,usatoday.com,media_reference,"[""travel_media""]",National News Network • Crisis Reporting,On-the-Ground Intelligence,,"[""Audrey Bergner""]",USA TODAY: Travel bloggers share their scariest moments from the road. Context label: National News Network • Crisis Reporting. This record is included as a media reference connected to the Samuel & Audrey Media Network archive.,"{""Publication"": ""USA TODAY (Road Warrior Voices)"", ""Incident"": ""Bangkok-Chiang Mai Train Derailment"", ""Category"": ""Infrastructure & Transport Safety"", ""Status"": ""Verified Witness Account""}",NewsArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,8f8f577c2177438dc1f1093a689da714cb907f622953b1cf6e3eb3e927c1ebb0,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-amsterdam,citation_or_reference_record,Social Media Interactions as a Way to Success in Travel Blogging,amsterdam,University of Amsterdam,Social Media Interactions as a Way to Success in Travel Blogging,University of Amsterdam: Masters of Media,https://mastersofmedia.hum.uva.nl/2014/09/social-media-interactions-as-a-way-to-success-in-travel-blogging/,https://mastersofmedia.hum.uva.nl/2014/09/social-media-interactions-as-a-way-to-success-in-travel-blogging/,mastersofmedia.hum.uva.nl,academic_or_research_reference,"[""travel_media""]",Masters of Media • Communication Science Archive,Digital Authority Analysis,,"[""Samuel & Audrey Media Network""]",University of Amsterdam: Social Media Interactions as a Way to Success in Travel Blogging. Context label: Masters of Media • Communication Science Archive. This record is included as a academic or research reference connected to the Samuel & Audrey Media Network archive.,"{""Institution"": ""Universiteit van Amsterdam (UvA)"", ""Metrics Audited"": ""Moz DA/PA, Alexa, SEMRush, SimilarWeb"", ""Research Thesis"": ""Interaction Protocols & Digital Success"", ""Classification"": ""Primary Media Case Study""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,f7fcc18c209d98a3044b93041922f1b2e1d5aae66555565205316507fd859d5a,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-unesco,citation_or_reference_record,Los Alerces National Park,unesco,World Heritage Sites,Los Alerces National Park,World Heritage Sites,https://worldheritagesites.net/los-alerces-national-park/,https://worldheritagesites.net/los-alerces-national-park/,worldheritagesites.net,tourism_campaign_or_industry_reference,"[""travel_media"", ""argentina""]",UNESCO Specialist Guide • Los Alerces National Park,Regional Expert Author,,"[""Los Alerces National Park""]",World Heritage Sites: Los Alerces National Park. Context label: UNESCO Specialist Guide • Los Alerces National Park. This record is included as a tourism campaign or industry reference connected to the Samuel & Audrey Media Network archive.,"{""Publication"": ""WorldHeritageSites.net"", ""Focus Area"": ""Los Alerces (UNESCO Heritage)"", ""Expertise"": ""Patagonian Logistics & Conservation"", ""Status"": ""Resident Expert (Argentina)""}",Article,https://nomadicsamuel.com/media-citations-and-third-party-references,003d1c8d9cafb5ffd08adfd0be210e9145066f7bb3446a638ea6305b5cdec1ed,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
reference-portals,citation_or_reference_record,Warren Buffett Says You Should Invest When the Market Is Down,portals,Yahoo Finance & MSN,Warren Buffett Says You Should Invest When the Market Is Down,Yahoo Finance,https://finance.yahoo.com/news/warren-buffett-says-invest-market-144332988.html,,finance.yahoo.com,finance_media_or_research_reference,"[""finance"", ""travel_media""]",The World's Largest Financial Portals,Global Mass Market Authority,,[],Yahoo Finance & MSN: Warren Buffett Says You Should Invest When the Market Is Down. Context label: The World's Largest Financial Portals. This record is included as a finance media or research reference connected to the Samuel & Audrey Media Network archive.,"{""Platforms"": ""Yahoo Finance & MSN Money"", ""Subject"": ""Warren Buffett's Investment Strategy"", ""Reach"": ""Global Mass Market (Millions)"", ""Status"": ""noted Public Reference""}",NewsArticle,https://nomadicsamuel.com/media-citations-and-third-party-references,e2607157acd4ee3cf1e992c90653bad9a1be17f93caa72d4f34f023f925ca67b,source_url_provided,Records vary in evidentiary weight. Users should review each source URL and context before relying on a record for formal research.,CC-BY-NC-4.0
